Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,SpearmanAtRadius0.550,SpearmanAtRadius0.525,SpearmanAtRadius0.500,SpearmanAtRadius0.475,SpearmanAtRadius0.450,SpearmanAtRadius0.425,SpearmanAtRadius0.400,SpearmanAtRadius0.375,SpearmanAtRadius0.350,IsNeologism
jewellery,25,46,110,218,382,657,1032,1586,2520,0.4983136894157101,0.4073504565933628,0.33145065936128815,0.3209646566729874,0.3345590630477294,0.3112816122443188,0.2989771484187804,0.28303690289325156,0.2746578859136783,0
cava,2,3,4,13,63,169,396,958,2166,0.22753191455791655,0.17984380124507707,0.22058239771838312,0.11341790553415745,0.1153546101493515,0.07220136969304922,0.05180772750239471,0.0432188336851932,0.05853550708224662,0
dorme,16,29,69,170,400,837,1510,2528,3942,-0.1023151502036654,-0.05059961479123835,0.03114263985138462,0.09434568831451569,0.14622413827404082,0.18516229131084144,0.200040314723979,0.20444923295730286,0.20484545363978485,0
hocus-pocus,8,11,28,49,120,311,721,1527,2917,-0.24765994030729258,-0.10266821854089002,0.13112629707337578,0.22156017392644117,0.16627974525153963,0.1808012843558216,0.21151257309398927,0.21686139338969937,0.21465108836274738,0
wort,0,0,0,1,9,64,219,693,1722,NaN,NaN,NaN,-0.2986991819722923,-0.0014936808268628038,0.12087577323810629,0.17968912914770138,0.19437546885342846,0.20509040099910358,0
arrowroot,443,666,936,1275,1730,2313,3079,4237,5000,0.26278580492523324,0.2398736226204715,0.24356913333622263,0.24968269756527545,0.24237510717874386,0.24345736382243569,0.24375177878093895,0.2307648025847206,0.22174726467829622,0
toiler,2,4,11,19,33,84,202,482,1086,-0.7192982456140351,-0.7647058823529411,-0.5782176448162224,-0.38157036743177575,-0.24007896629306763,-0.04413286233705127,0.01542152570858549,0.07736636514724135,0.11036817962097077,0
falseness,58,159,317,581,1033,1639,2392,3431,4781,0.021485433175396373,0.07636661709554726,0.1155756677826894,0.11447658744706314,0.1285041398340315,0.1304943548332956,0.14050994855884835,0.14726298408746002,0.15219503008746454,0
interpolation,70,177,383,763,1374,2251,3402,4985,5000,0.2543222212979179,0.25983508160063246,0.27046795890587416,0.2656940956331994,0.26336222464812603,0.24568062269394683,0.24546913368628698,0.25376769687941875,0.2534467122267064,0
baize,231,475,823,1317,1973,2791,3833,5000,5000,0.2301209973508947,0.2890185352683498,0.29342860435440515,0.2943542241070388,0.27674989184701704,0.26971878142723693,0.26366077100492524,0.25896805923822325,0.25896805923822325,0
suggestiveness,169,358,627,1092,1712,2625,3760,5000,5000,0.20868437938249235,0.18946526479350392,0.17945462114164606,0.19486124024673918,0.19825024500149271,0.20034652284311388,0.19806884215591855,0.19924185359016022,0.19924185359016022,0
hussar,18,51,113,213,366,592,997,1668,2766,0.18157132667583648,0.1790422626181861,0.1827384950029815,0.16262020450756523,0.18381966485162804,0.19370205455578332,0.18838788677089222,0.17522259710935517,0.184595104845609,0
cormorant,8,30,77,140,249,445,794,1457,2694,0.07696525804966514,0.10401551551670588,0.14808977901524667,0.14039463532784519,0.17930431599340835,0.16175883065504099,0.13977254582970824,0.142946039197558,0.14402089869124596,0
pewee,0,0,6,18,65,233,649,1449,2729,NaN,NaN,-0.026691914391715244,0.08479017219470147,0.07398204673799623,0.1597770281865056,0.1697448445896901,0.17147925570754283,0.173494042071227,0
bay-window,309,552,910,1397,2068,2977,4115,5000,5000,0.2136194375111629,0.2361564535046821,0.24080886468918772,0.23684624416468933,0.22100888819805292,0.22852120850498409,0.2354752345695763,0.2305746329551851,0.2305746329551851,0
haunch,60,145,354,691,1246,2077,3291,4809,5000,0.04497412535037213,0.09727998657539771,0.1205895271814125,0.14477683248475487,0.1568720326747591,0.16682101852238373,0.17516472766671815,0.17777800823372586,0.18015608109630635,0
twentyone,11,15,24,38,75,190,413,846,1655,0.07812840799154885,-0.031002362158245794,0.012766828764368984,0.05821208860139947,0.12538159964489762,0.18326889433441343,0.2161407552387228,0.25445565803095405,0.2674668079688592,0
utilitarianism,421,692,1067,1603,2257,3177,4263,5000,5000,0.37451123957152566,0.34931478607716787,0.3510884574494651,0.32453556651050136,0.29790015752587373,0.27733476811567365,0.2637088956290102,0.262203237229471,0.262203237229471,0
expressman,5,19,39,93,207,509,1045,2011,3519,0.32529025949267654,0.09568168349617448,0.04801526660244363,0.08281985945320977,0.16232696178428604,0.18219280972663035,0.21416970349979628,0.2330137986336043,0.23819486301502849,0
gusset,40,117,283,631,1173,2020,3093,4487,5000,-0.17430802526869948,-0.06616566339109874,0.032333980758949964,0.09331312302555925,0.14535151692074294,0.16943399115942326,0.17726801097626252,0.1915947500986343,0.19417985704940902,0
fil,1590,1916,2314,2867,3576,4566,5000,5000,5000,-0.05848487479203979,-0.04180875259906326,-0.023392397367310972,0.00029289784485963605,0.027262907754485435,0.06142053343229234,0.07282187854902787,0.07282187854902787,0.07282187854902787,0
